param1,param2,param3,param4,param5,Variable,Iteration,NAME
0,0,0,0,0,CENTER,0,MVN_TRUENEGCOR_LHS_NOPAR
1,1,1,1,1,VAR,0,MVN_TRUENEGCOR_LHS_NOPAR
1,0,0,0,0,COV,0,MVN_TRUENEGCOR_LHS_NOPAR
0,1,0,0,0,COV,0,MVN_TRUENEGCOR_LHS_NOPAR
0,0,1,0,0,COV,0,MVN_TRUENEGCOR_LHS_NOPAR
0,0,0,1,0,COV,0,MVN_TRUENEGCOR_LHS_NOPAR
0,0,0,0,1,COV,0,MVN_TRUENEGCOR_LHS_NOPAR
NA,NA,NA,NA,NA,P975,0,MVN_TRUENEGCOR_LHS_NOPAR
NA,NA,NA,NA,NA,P025,0,MVN_TRUENEGCOR_LHS_NOPAR
0.010437817,0.059829411,-0.031252933,0.008928684,-0.008669128,CENTER,1,MVN_TRUENEGCOR_LHS_NOPAR
0.937225976,0.980260213,1.00858256,0.889042891,0.947581164,VAR,1,MVN_TRUENEGCOR_LHS_NOPAR
0.937225976,-0.434132752,-0.07290253,0.007325843,-0.016173926,COV,1,MVN_TRUENEGCOR_LHS_NOPAR
-0.434132752,0.980260213,-0.026395822,0.002577422,0.004451856,COV,1,MVN_TRUENEGCOR_LHS_NOPAR
-0.07290253,-0.026395822,1.00858256,0.013705849,-0.028338063,COV,1,MVN_TRUENEGCOR_LHS_NOPAR
0.007325843,0.002577422,0.013705849,0.889042891,-0.355135646,COV,1,MVN_TRUENEGCOR_LHS_NOPAR
-0.016173926,0.004451856,-0.028338063,-0.355135646,0.947581164,COV,1,MVN_TRUENEGCOR_LHS_NOPAR
-1.812366481,-1.935842334,-1.985965533,-1.819399434,-1.84405275,P025,1,MVN_TRUENEGCOR_LHS_NOPAR
1.861974503,1.948085893,2.017664442,1.82554558,1.865556081,P975,1,MVN_TRUENEGCOR_LHS_NOPAR
-0.005974752,0.025278888,0.043609589,-0.006160305,-0.053567169,CENTER,2,MVN_TRUENEGCOR_LHS_NOPAR
0.947153548,0.936323893,1.012119388,0.834884523,0.869136211,VAR,2,MVN_TRUENEGCOR_LHS_NOPAR
0.947153548,-0.090491784,0.042654464,-0.034658144,0.066996543,COV,2,MVN_TRUENEGCOR_LHS_NOPAR
-0.090491784,0.936323893,0.100947479,-0.002335438,-0.009952982,COV,2,MVN_TRUENEGCOR_LHS_NOPAR
0.042654464,0.100947479,1.012119388,-0.025885962,0.017178764,COV,2,MVN_TRUENEGCOR_LHS_NOPAR
-0.034658144,-0.002335438,-0.025885962,0.834884523,-0.119847191,COV,2,MVN_TRUENEGCOR_LHS_NOPAR
0.066996543,-0.009952982,0.017178764,-0.119847191,0.869136211,COV,2,MVN_TRUENEGCOR_LHS_NOPAR
-1.902971454,-1.788045214,-1.819492977,-1.81849871,-1.816350714,P025,2,MVN_TRUENEGCOR_LHS_NOPAR
1.83176782,2.074539793,2.053600137,1.735534489,1.723963157,P975,2,MVN_TRUENEGCOR_LHS_NOPAR
-0.027441531,0.008006221,0.0251232,0.015782158,-0.008014878,CENTER,3,MVN_TRUENEGCOR_LHS_NOPAR
0.881235255,0.863272096,0.975099358,0.832279278,0.87206346,VAR,3,MVN_TRUENEGCOR_LHS_NOPAR
0.881235255,-0.336337626,0.017730063,0.017963248,-0.050922187,COV,3,MVN_TRUENEGCOR_LHS_NOPAR
-0.336337626,0.863272096,-0.064211525,0.006694923,0.003651245,COV,3,MVN_TRUENEGCOR_LHS_NOPAR
0.017730063,-0.064211525,0.975099358,0.004872088,-0.009791052,COV,3,MVN_TRUENEGCOR_LHS_NOPAR
0.017963248,0.006694923,0.004872088,0.832279278,-0.274377463,COV,3,MVN_TRUENEGCOR_LHS_NOPAR
-0.050922187,0.003651245,-0.009791052,-0.274377463,0.87206346,COV,3,MVN_TRUENEGCOR_LHS_NOPAR
-1.866850085,-1.861004175,-1.815962284,-1.715742751,-1.81698762,P025,3,MVN_TRUENEGCOR_LHS_NOPAR
1.910973559,1.783824299,1.863345092,1.835873543,1.824632687,P975,3,MVN_TRUENEGCOR_LHS_NOPAR
