param1,param2,param3,param4,param5,Variable,Iteration,NAME
0,0,0,0,0,CENTER,0,MVN_TRUENEGCOR_MC_NOPAR
1,1,1,1,1,VAR,0,MVN_TRUENEGCOR_MC_NOPAR
1,0,0,0,0,COV,0,MVN_TRUENEGCOR_MC_NOPAR
0,1,0,0,0,COV,0,MVN_TRUENEGCOR_MC_NOPAR
0,0,1,0,0,COV,0,MVN_TRUENEGCOR_MC_NOPAR
0,0,0,1,0,COV,0,MVN_TRUENEGCOR_MC_NOPAR
0,0,0,0,1,COV,0,MVN_TRUENEGCOR_MC_NOPAR
NA,NA,NA,NA,NA,P975,0,MVN_TRUENEGCOR_MC_NOPAR
NA,NA,NA,NA,NA,P025,0,MVN_TRUENEGCOR_MC_NOPAR
-0.009022001,0.0081607,0.040394647,0.03837441,-0.041687067,CENTER,1,MVN_TRUENEGCOR_MC_NOPAR
0.969856257,0.958717762,0.973180043,0.966237011,0.944730666,VAR,1,MVN_TRUENEGCOR_MC_NOPAR
0.969856257,-0.410412289,0.031949737,0.035487907,-0.032411604,COV,1,MVN_TRUENEGCOR_MC_NOPAR
-0.410412289,0.958717762,0.007535174,-0.02592611,0.025308901,COV,1,MVN_TRUENEGCOR_MC_NOPAR
0.031949737,0.007535174,0.973180043,0.048162577,-0.004113319,COV,1,MVN_TRUENEGCOR_MC_NOPAR
0.035487907,-0.02592611,0.048162577,0.966237011,-0.408347543,COV,1,MVN_TRUENEGCOR_MC_NOPAR
-0.032411604,0.025308901,-0.004113319,-0.408347543,0.944730666,COV,1,MVN_TRUENEGCOR_MC_NOPAR
-1.757825081,-1.888502746,-1.823251748,-1.886408513,-1.930797966,P025,1,MVN_TRUENEGCOR_MC_NOPAR
1.863517514,1.95146522,1.987303327,1.860966576,1.755356416,P975,1,MVN_TRUENEGCOR_MC_NOPAR
0.013188211,-0.012667917,0.019368166,-0.034445818,0.015445812,CENTER,2,MVN_TRUENEGCOR_MC_NOPAR
0.95814595,0.976946494,0.955418049,1.035190022,1.01377413,VAR,2,MVN_TRUENEGCOR_MC_NOPAR
